value
406.6700
407.1800
408.9400
408.7800
408.5800
408.6900
409.6000
409.5100
409.3300
409.8000
410.8600
410.5500
412.1900
411.2300
411.8300
412.6300
411.1900
412.6200
412.3700
412.3700
412.0200
411.5300
412.4000
413.3500
413.8200
413.9900
414.5200
414.5400
415.6200
414.9700
414.5200
414.6000
414.3000
414.0800
413.6300
413.6400
412.3000
412.3700
411.0700
410.2800
410.5600
410.4800
409.7900
409.6600
409.0300
408.8100
408.7200
408.5400
408.1800
408.6000
408.8400
408.9400
409.5100
410.1200
410.4100
410.4000
410.9300
411.2800
411.5300
412.1000
412.4200
413.1900
413.5800
413.0000
413.8500
414.2400
414.5100
414.6200
414.2700
413.9200
414.0700
414.3200
414.5000
415.7500
415.9500
416.6500
416.4800
416.0900
417.0200
417.0400
417.0000
417.1800
417.6400
417.4100
416.5500
416.4200
416.2700
415.6400
415.4500
414.7300
414.0800
413.4200
413.3700
412.9500
412.5900
412.1700
411.7900
411.5800
411.6700
411.2000
411.2700
411.2600
411.3200
411.7200
411.6900
411.9600
412.9800
412.7400
414.0400
413.9700
413.6000
414.1300
414.8200
415.3000
415.3600
415.0400
415.3900
415.9800
417.0900
416.8900
416.4800
416.2800
417.9300
416.9100
417.7600
417.6800
417.9800
419.2400
418.9500
418.1600
419.9700
419.4900
418.4500
419.0500
418.8900
419.5100
419.4700
419.0300
418.4400
418.0400
417.4300
417.4800
416.7100
415.5500
414.9600
414.5200
414.8800
413.7900
413.1900
413.3300
413.0600
413.2700
413.3300
413.6100
413.8600
414.3200
413.8700
414.1400
414.9300
414.8400
415.3300
416.1200
415.8300
416.4100
417.4500
417.4200
417.3700
418.2800
417.5800
419.0900
419.1500
418.3400
419.7400
419.5700
419.1600
418.4700
418.3000
418.1300
420.3200
420.1500
420.1100
420.3300
420.1400
420.1300
421.0700
420.9200
421.4400
421.5800
421.2600
420.9800
420.8200
420.2600
419.6900
419.0300
418.3800
417.8000
418.1500
417.2900
417.2200
416.5200
416.5000
416.2900
416.0000
415.5200
415.5300
415.2200
415.4600
415.8400
416.2600
416.3900
417.1400
417.2500
418.4800
417.6900
419.0100
418.8000
419.1800
419.4400
419.2900
419.5700
419.1800
419.7300
419.8100
420.2000
420.8100
419.5900
421.5600
421.2100
420.2100
420.7800
421.6900
422.7500
422.9600
423.4700
424.0800
423.9900
424.2900
423.3900
423.9400
424.6500
424.3800
424.1400
423.4900
422.2000
422.6200
422.3500
421.3400
421.2800
420.8300
420.0200
418.9800
419.3100
419.2700
418.6400
418.5200
418.3300
418.2900
418.3100
418.5300
419.4600
418.9100
419.0500
419.2800
421.2200
421.2100
420.3100
421.0200
422.2000
422.2400
421.8600
422.5200
423.4900
422.8400
422.8600
422.2800
425.8300
423.5400
425.2100
425.1300
425.4500
425.7400
425.3700
425.0400
426.3500
425.8600
426.3400
427.9400
426.8000
426.9200
427.0300
426.6400
426.8800
427.0600
427.3300
426.7300
426.4700
425.6100
426.2500
425.9500
424.8000
424.8800
424.1800
422.4200
422.8300
421.3600
422.3300
422.0600
421.9800
421.7100
421.9500
422.1600
422.6200
422.1700
423.1500
423.3400
423.6000
423.9600
424.5900
424.9500
425.6700
424.9600
425.5900
426.0800
426.3100
426.7800
426.8600
426.9200
427.0500
426.8600
427.6700
427.0200
428.1500
428.7400
428.3300
428.0100
427.6500
429.2400
430.0300
430.0100
430.5900
430.8600
430.5800
430.3500
430.1800
429.9600
429.9300
429.3900
429.4800
428.7000
428.4100
427.9000
427.5200
426.5700
425.8700
425.4400
425.6500
425.0200
425.2300
424.2500
423.9800
424.1600
424.3900
424.8100
425.2000
425.2500
424.7800
426.8000
426.5500
426.8400
427.2100
427.2500
427.2200
427.8700
428.2600
428.7000
429.1500
428.6200
428.3900
428.1000
429.0600
429.9500
430.1700
429.6200
429.9100
429.4600
430.9300
431.7300
431.8800
429.8000
431.1500
432.4400
432.2900
432.2500
432.2900
432.0300
432.1500
431.1700
430.8500
430.1900
429.0600
